Location,Period2011,ART coverage 2011,Death by HIV 2011,People with HIV 2011,Total Population 2011,Period2012,ART coverage 2012,Death by HIV 2012,People with HIV 2012,Total Population 2012,Period2013,ART coverage 2013,Death by HIV 2013,People with HIV 2013,Total Population 2013,Period2014,ART coverage 2014,Death by HIV 2014,People with HIV 2014,Total Population 2014,Period2015,ART coverage 2015,Death by HIV 2015,People with HIV 2015,Total Population 2015,Period2016,ART coverage 2016,Death by HIV 2016,People with HIV 2016,Total Population 2016,Period2017,ART coverage 2017,Death by HIV 2017,People with HIV 2017,Total Population 2017,Period2018,ART coverage 2018,Death by HIV 2018,People with HIV 2018,Total Population 2018,Period2019,ART coverage 2019,Death by HIV 2019,People with HIV 2019,Total Population 2019,Period2020,ART coverage 2020,Death by HIV 2020,People with HIV 2020,Total Population 2020,Period2021,ART coverage 2021,Death by HIV 2021,People with HIV 2021,Total Population 2021
Madagascar,2011,3.0,670.0,15000.0,21743970.0,2012,2.0,810.0,18000.0,22346641.0,2013,2.0,1000.0,21000.0,22961259.0,2014,3.0,1200.0,25000.0,23589897.0,2015,4.0,1400.0,29000.0,24234080.0,2016,5.0,1600.0,34000.0,24894370.0,2017,6.0,1900.0,39000.0,25570511.0,2018,8.0,2100.0,43000.0,26262313.0,2019,11.0,2300.0,48000.0,26969306.0,2020,11.0,2500.0,54000.0,27691019.0,2021,15.0,2900.0,60000.0,28427333.0
Chad,2011,30.0,4100.0,110000.0,12360986.0,2012,33.0,4200.0,110000.0,12784748.0,2013,35.0,4200.0,110000.0,13220433.0,2014,38.0,4200.0,110000.0,13663562.0,2015,40.0,4300.0,110000.0,14110971.0,2016,43.0,4300.0,110000.0,14561658.0,2017,46.0,4300.0,110000.0,15016761.0,2018,55.0,4100.0,110000.0,15477727.0,2019,62.0,3500.0,110000.0,15946882.0,2020,70.0,3100.0,110000.0,16425859.0,2021,75.0,2700.0,110000.0,16914985.0
Mexico,2011,30.0,6400.0,240000.0,115695468.0,2012,33.0,6600.0,250000.0,117274156.0,2013,34.0,6200.0,260000.0,118827158.0,2014,35.0,6500.0,280000.0,120355137.0,2015,41.0,6500.0,290000.0,121858251.0,2016,44.0,5600.0,300000.0,123333379.0,2017,45.0,5300.0,310000.0,124777326.0,2018,51.0,5600.0,320000.0,126190782.0,2019,52.0,5100.0,340000.0,127575529.0,2020,57.0,5100.0,350000.0,128932753.0,2021,61.0,4600.0,360000.0,130262220.0
Georgia,2011,32.0,100.0,3500.0,3756441.0,2012,43.0,100.0,3900.0,3728874.0,2013,47.0,100.0,4400.0,3717668.0,2014,52.0,100.0,4900.0,3719414.0,2015,57.0,100.0,5400.0,3725276.0,2016,62.0,100.0,5800.0,3727505.0,2017,66.0,100.0,6300.0,3728004.0,2018,68.0,100.0,6800.0,3726549.0,2019,71.0,100.0,7200.0,3720161.0,2020,71.0,100.0,7700.0,3722716.0,2021,71.0,100.0,8100.0,3708610.0
Cuba,2011,35.0,500.0,21000.0,11236671.0,2012,38.0,500.0,23000.0,11257112.0,2013,42.0,500.0,24000.0,11282722.0,2014,49.0,500.0,26000.0,11306909.0,2015,57.0,500.0,27000.0,11324777.0,2016,61.0,500.0,28000.0,11335108.0,2017,65.0,500.0,30000.0,11339255.0,2018,70.0,500.0,32000.0,11338146.0,2019,74.0,500.0,33000.0,11333484.0,2020,72.0,500.0,35000.0,11326616.0,2021,72.0,500.0,36000.0,11317498.0
Burkina Faso,2011,35.0,4600.0,100000.0,16081915.0,2012,38.0,4400.0,100000.0,16571252.0,2013,42.0,4400.0,100000.0,17072791.0,2014,47.0,4100.0,99000.0,17586029.0,2015,54.0,3900.0,97000.0,18110616.0,2016,60.0,3400.0,96000.0,18646350.0,2017,68.0,3200.0,94000.0,19193236.0,2018,65.0,2900.0,92000.0,19751466.0,2019,76.0,2600.0,91000.0,20321383.0,2020,78.0,2400.0,89000.0,20903278.0,2021,84.0,2000.0,88000.0,21497097.0
Lebanon,2011,35.0,100.0,1500.0,5202022.0,2012,36.0,100.0,1700.0,5537620.0,2013,38.0,100.0,1900.0,5913016.0,2014,40.0,100.0,2100.0,6261046.0,2015,42.0,100.0,2300.0,6532681.0,2016,47.0,100.0,2400.0,6714281.0,2017,52.0,100.0,2600.0,6819373.0,2018,56.0,100.0,2700.0,6859408.0,2019,61.0,100.0,2800.0,6855709.0,2020,64.0,100.0,2900.0,6825442.0,2021,66.0,100.0,3000.0,6769151.0
Malawi,2011,35.0,36000.0,940000.0,14962118.0,2012,43.0,31000.0,940000.0,15396010.0,2013,49.0,26000.0,960000.0,15839287.0,2014,56.0,23000.0,970000.0,16289550.0,2015,61.0,21000.0,980000.0,16745305.0,2016,69.0,20000.0,990000.0,17205253.0,2017,76.0,19000.0,990000.0,17670193.0,2018,82.0,17000.0,990000.0,18143215.0,2019,84.0,15000.0,990000.0,18628749.0,2020,87.0,13000.0,990000.0,19129955.0,2021,91.0,13000.0,990000.0,19647681.0
Cabo Verde,2011,36.0,100.0,1900.0,498858.0,2012,45.0,100.0,1900.0,505241.0,2013,50.0,100.0,2000.0,511740.0,2014,59.0,100.0,2100.0,518276.0,2015,64.0,100.0,2100.0,524740.0,2016,74.0,100.0,2200.0,531140.0,2017,80.0,100.0,2300.0,537499.0,2018,91.0,100.0,2400.0,543764.0,2019,97.0,100.0,2400.0,549936.0,2020,98.0,100.0,2500.0,555988.0,2021,98.0,100.0,2600.0,561901.0
Eswatini,2011,37.0,4900.0,180000.0,1072029.0,2012,42.0,4200.0,190000.0,1079285.0,2013,48.0,3900.0,190000.0,1086843.0,2014,57.0,3800.0,200000.0,1095022.0,2015,66.0,3500.0,200000.0,1104038.0,2016,75.0,3200.0,210000.0,1113994.0,2017,82.0,3200.0,210000.0,1124808.0,2018,83.0,3000.0,210000.0,1136274.0,2019,89.0,2700.0,220000.0,1148133.0,2020,94.0,2800.0,220000.0,1160164.0,2021,91.0,2600.0,220000.0,1172369.0
