Location,Period2011,ART coverage 2011,Death by HIV 2011,People with HIV 2011,Total Population 2011,Period2012,ART coverage 2012,Death by HIV 2012,People with HIV 2012,Total Population 2012,Period2013,ART coverage 2013,Death by HIV 2013,People with HIV 2013,Total Population 2013,Period2014,ART coverage 2014,Death by HIV 2014,People with HIV 2014,Total Population 2014,Period2015,ART coverage 2015,Death by HIV 2015,People with HIV 2015,Total Population 2015,Period2016,ART coverage 2016,Death by HIV 2016,People with HIV 2016,Total Population 2016,Period2017,ART coverage 2017,Death by HIV 2017,People with HIV 2017,Total Population 2017,Period2018,ART coverage 2018,Death by HIV 2018,People with HIV 2018,Total Population 2018,Period2019,ART coverage 2019,Death by HIV 2019,People with HIV 2019,Total Population 2019,Period2020,ART coverage 2020,Death by HIV 2020,People with HIV 2020,Total Population 2020,Period2021,ART coverage 2021,Death by HIV 2021,People with HIV 2021,Total Population 2021
Serbia,2011,53.0,100.0,1900.0,7234099.0,2012,52.0,100.0,2100.0,7199077.0,2013,52.0,100.0,2200.0,7164132.0,2014,53.0,100.0,2400.0,7130576.0,2015,54.0,100.0,2600.0,7095383.0,2016,57.0,100.0,2800.0,7058322.0,2017,60.0,100.0,2900.0,7020858.0,2018,64.0,100.0,3100.0,6982604.0,2019,64.0,100.0,3300.0,6945235.0,2020,63.0,100.0,3400.0,6899126.0,2021,64.0,100.0,3600.0,6844078.0
Cambodia,2011,53.0,1700.0,83000.0,14541421.0,2012,56.0,1800.0,83000.0,14780454.0,2013,59.0,1900.0,82000.0,15026330.0,2014,63.0,2000.0,81000.0,15274506.0,2015,66.0,2000.0,80000.0,15521435.0,2016,70.0,1900.0,79000.0,15766290.0,2017,73.0,1700.0,78000.0,16009413.0,2018,77.0,1600.0,77000.0,16249795.0,2019,81.0,1400.0,76000.0,16486542.0,2020,83.0,1200.0,75000.0,16718971.0,2021,84.0,1100.0,74000.0,16946446.0
Botswana,2011,54.0,6000.0,330000.0,2015406.0,2012,61.0,5400.0,340000.0,2039551.0,2013,66.0,5400.0,340000.0,2062551.0,2014,67.0,5300.0,350000.0,2088619.0,2015,73.0,5000.0,350000.0,2120716.0,2016,77.0,5200.0,350000.0,2159925.0,2017,80.0,5000.0,360000.0,2205076.0,2018,85.0,5000.0,360000.0,2254067.0,2019,87.0,5100.0,360000.0,2303703.0,2020,89.0,4800.0,360000.0,2351625.0,2021,92.0,4600.0,360000.0,2397240.0
Brazil,2011,57.0,15000.0,660000.0,197514541.0,2012,59.0,16000.0,690000.0,199287292.0,2013,60.0,16000.0,720000.0,201035904.0,2014,62.0,16000.0,750000.0,202763744.0,2015,63.0,16000.0,780000.0,204471759.0,2016,65.0,15000.0,810000.0,206163056.0,2017,67.0,14000.0,830000.0,207833825.0,2018,68.0,14000.0,860000.0,209469320.0,2019,69.0,14000.0,890000.0,211049519.0,2020,71.0,13000.0,920000.0,212559409.0,2021,73.0,13000.0,960000.0,213993441.0
Luxembourg,2011,58.0,100.0,800.0,518347.0,2012,61.0,100.0,860.0,530946.0,2013,61.0,100.0,920.0,543360.0,2014,65.0,100.0,990.0,556319.0,2015,66.0,100.0,1100.0,569604.0,2016,68.0,100.0,1100.0,582014.0,2017,70.0,100.0,1200.0,596336.0,2018,70.0,100.0,1200.0,607950.0,2019,72.0,100.0,1300.0,620001.0,2020,72.0,100.0,1300.0,630419.0,2021,76.0,100.0,1400.0,639070.0
New Zealand,2011,61.0,100.0,2500.0,4384000.0,2012,62.0,100.0,2600.0,4408100.0,2013,63.0,100.0,2700.0,4442100.0,2014,66.0,100.0,2900.0,4516500.0,2015,69.0,100.0,3000.0,4609400.0,2016,73.0,100.0,3100.0,4714100.0,2017,77.0,100.0,3200.0,4813600.0,2018,79.0,100.0,3400.0,4900600.0,2019,79.0,100.0,3500.0,4979200.0,2020,81.0,100.0,3600.0,5090200.0,2021,81.0,100.0,3600.0,5122600.0
Switzerland,2011,66.0,200.0,15000.0,7912398.0,2012,69.0,200.0,16000.0,7996861.0,2013,70.0,200.0,16000.0,8089346.0,2014,72.0,200.0,16000.0,8188649.0,2015,74.0,200.0,17000.0,8282396.0,2016,79.0,200.0,17000.0,8373338.0,2017,85.0,200.0,17000.0,8451840.0,2018,87.0,200.0,17000.0,8514329.0,2019,88.0,200.0,17000.0,8575280.0,2020,91.0,200.0,17000.0,8636561.0,2021,90.0,200.0,17000.0,8697723.0
Sri Lanka,2011,8.0,500.0,3800.0,20398496.0,2012,10.0,500.0,3800.0,20425000.0,2013,14.0,500.0,3800.0,20585000.0,2014,17.0,500.0,3700.0,20778000.0,2015,22.0,500.0,3700.0,20970000.0,2016,29.0,200.0,3700.0,21203000.0,2017,35.0,200.0,3700.0,21444000.0,2018,43.0,200.0,3600.0,21670000.0,2019,51.0,200.0,3600.0,21803000.0,2020,60.0,100.0,3600.0,21919000.0,2021,66.0,100.0,3600.0,22156000.0
Azerbaijan,2011,9.0,580.0,11000.0,9173082.0,2012,12.0,540.0,11000.0,9295784.0,2013,16.0,510.0,11000.0,9416801.0,2014,17.0,500.0,11000.0,9535079.0,2015,23.0,510.0,10000.0,9649341.0,2016,28.0,500.0,10000.0,9757812.0,2017,36.0,500.0,10000.0,9854033.0,2018,43.0,500.0,10000.0,9939771.0,2019,50.0,500.0,10000.0,10024283.0,2020,55.0,200.0,10000.0,10093121.0,2021,61.0,200.0,10000.0,10145212.0
Timor-Leste,2011,9.0,100.0,590.0,1113154.0,2012,13.0,100.0,660.0,1133002.0,2013,19.0,100.0,730.0,1153288.0,2014,22.0,100.0,810.0,1174333.0,2015,22.0,100.0,890.0,1196294.0,2016,26.0,100.0,980.0,1219289.0,2017,27.0,100.0,1100.0,1243260.0,2018,33.0,100.0,1200.0,1267975.0,2019,42.0,100.0,1200.0,1293120.0,2020,47.0,100.0,1300.0,1318442.0,2021,55.0,100.0,1400.0,1343875.0
Mongolia,2011,9.0,100.0,500.0,2770357.0,2012,12.0,100.0,500.0,2824698.0,2013,20.0,100.0,500.0,2881783.0,2014,25.0,100.0,500.0,2940111.0,2015,28.0,100.0,520.0,2998433.0,2016,29.0,100.0,540.0,3056358.0,2017,32.0,100.0,560.0,3113788.0,2018,34.0,100.0,580.0,3170214.0,2019,34.0,100.0,590.0,3225166.0,2020,37.0,100.0,610.0,3278292.0,2021,38.0,100.0,630.0,3329282.0
Norway,2011,93.0,100.0,3200.0,4953088.0,2012,92.0,100.0,3400.0,5018573.0,2013,91.0,100.0,3600.0,5079623.0,2014,90.0,100.0,3800.0,5137232.0,2015,90.0,100.0,4000.0,5188607.0,2016,89.0,100.0,4100.0,5234519.0,2017,89.0,100.0,4300.0,5276968.0,2018,89.0,100.0,4400.0,5311916.0,2019,90.0,100.0,4500.0,5347896.0,2020,92.0,100.0,4500.0,5379475.0,2021,93.0,100.0,4600.0,5408320.0
