Country,People receive ART,People with HIV,ART coverage (%),People with HIV-median,People with HIV-min,People with HIV-max,ART coverage(%)-median,ART coverage(%)-min,ART coverage(%)-max,WHO Region
Thailand,359000.0,550000.0,86.0,480000.0,420000.0,550000.0,75.0,66.0,86.0,South-East Asia
Togo,64800.0,120000.0,65.0,110000.0,100000.0,120000.0,60.0,56.0,65.0,Africa
Tunisia,1100.0,4400.0,61.0,2800.0,1700.0,4400.0,39.0,24.0,61.0,Eastern Mediterranean
Uganda,1004000.0,1500000.0,78.0,1400000.0,1300000.0,1500000.0,72.0,68.0,78.0,Africa
Ukraine,124000.0,260000.0,56.0,240000.0,220000.0,260000.0,52.0,48.0,56.0,Europe
United Republic of Tanzania,1109000.0,1700000.0,78.0,1600000.0,1400000.0,1700000.0,71.0,64.0,78.0,Africa
Uruguay,8100.0,19000.0,76.0,14000.0,9900.0,19000.0,58.0,41.0,76.0,Americas
Uzbekistan,26700.0,56000.0,55.0,52000.0,48000.0,56000.0,51.0,47.0,55.0,Europe
Viet Nam,150000.0,260000.0,73.0,230000.0,200000.0,260000.0,65.0,57.0,73.0,Western Pacific
Yemen,2200.0,18000.0,35.0,11000.0,6500.0,18000.0,21.0,12.0,35.0,Eastern Mediterranean
Zambia,965000.0,1400000.0,88.0,1200000.0,1100000.0,1400000.0,78.0,69.0,88.0,Africa
Zimbabwe,1151000.0,1500000.0,95.0,1300000.0,1100000.0,1500000.0,88.0,77.0,95.0,Africa
