Country,People receive ART,People with HIV,ART coverage (%),People with HIV-median,People with HIV-min,People with HIV-max,ART coverage(%)-median,ART coverage(%)-min,ART coverage(%)-max,WHO Region,Total Population
Somalia,3300,15000,41,11000,8400,15000,30,23,41,Eastern Mediterranean,15893222
South Africa,4788000,8300000,66,7700000,7100000,8300000,62,57,66,Africa,59308690
South Sudan,30700,240000,20,190000,140000,240000,16,12,20,Africa,11193725
Spain,125000,170000,94,150000,130000,170000,84,73,94,Europe,46754778
Sri Lanka,1600,4000,52,3500,3100,4000,45,40,52,South-East Asia,21413249
Sudan,9000,110000,28,59000,26000,110000,15,7,28,Eastern Mediterranean,43849260
Suriname,2900,8100,75,5600,3700,8100,52,35,75,Americas,586632
Syrian Arab Republic,130,720,22,660,590,720,20,18,22,Eastern Mediterranean,17500658
Tajikistan,6000,16000,56,13000,11000,16000,46,38,56,Europe,9537645
Thailand,359000,550000,86,480000,420000,550000,75,66,86,South-East Asia,69799978
Togo,64800,120000,65,110000,100000,120000,60,56,65,Africa,8278724
Tunisia,1100,4400,61,2800,1700,4400,39,24,61,Eastern Mediterranean,11818619
Uganda,1004000,1500000,78,1400000,1300000,1500000,72,68,78,Africa,45741007
Ukraine,124000,260000,56,240000,220000,260000,52,48,56,Europe,43733762
United Republic of Tanzania,1109000,1700000,78,1600000,1400000,1700000,71,64,78,Africa,59734218
Uruguay,8100,19000,76,14000,9900,19000,58,41,76,Americas,3473730
Uzbekistan,26700,56000,55,52000,48000,56000,51,47,55,Europe,33469203
Viet Nam,150000,260000,73,230000,200000,260000,65,57,73,Western Pacific,97338579
Yemen,2200,18000,35,11000,6500,18000,21,12,35,Eastern Mediterranean,29825964
Zambia,965000,1400000,88,1200000,1100000,1400000,78,69,88,Africa,18383955
Zimbabwe,1151000,1500000,95,1300000,1100000,1500000,88,77,95,Africa,14862924
